upc,name,description,department,department_number,category,manufacturer,brand,is_active,cost,price,vendor,part_num,part_num_units,part_cost,child_upc,num_units
762446787326,TIMBERWOLF LC WNTRGRN ROLL,,,,SMOKELESS TOBACCO > TIMBERWOLF > ROLL,,,,17.3200,21.99,,,,,,
073100010934,SKOAL FC WINTERGREEN CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR > ROLL,,,,30.5200,32.25,,,,,,
073100010958,SKOAL LC WINTERGREEN CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR > ROLL,,,,30.5200,32.25,,,,,,
073100010996,SKOAL LC STRAIGHT CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR > ROLL,,,,30.5200,32.25,,,,,,
073100010972,SKOAL LC MINT CTN,,,,SMOKELESS TOBACCO > SKOAL > ROLL,,,,30.5200,32.25,,,,,,
073100011030,SKOAL LC CHERRY CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,30.5200,32.25,,,,,,
073100031670,SKOAL X-TRA POUCH WINTERGREEN BLEND CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,30.5200,29.75,,,,,,
073100031687,SKOAL X-TRA POUCH MINT BLEND CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,30.5200,32.25,,,,,,
073100031700,SKOAL X-TRA LC WINTERGREEN BLEND 1.2 OZ CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,30.5200,32.25,,,,,,
073100031724,SKOAL X-TRA LC MINT BLEND 1.2 OZ CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL X-TRA,,,,30.5200,32.25,,,,,,
073100014789,SKOAL WINTERGREEN POUCHES CTN,,,,SMOKELESS TOBACCO > SKOAL > SKOAL REGULAR > ROLL,,,,30.5200,32.25,,,,,,
073100021947,HUSKY FC NATURAL 1.2 OZ CTN,,,,SMOKELESS TOBACCO > HUSKY > ROLL,,,,12.8700,13.49,,,,,,
073100030277,HUSKY LC STRGHT ROLL,,,,SMOKELESS TOBACCO > HUSKY > ROLL,,,,12.8700,13.49,,,,,,
